Firm Name,Momentum_1,Long Short
FVOO-L,-0.0131740861382554,0
SDHW-L,-0.0129870129870131,0
FSSO-L,-0.0129870129870129,0
MCTP-L,-0.0127892813641901,0
FWZL-L,-0.0123946455131382,0
MWQQ-L,-0.0123905148472549,0
QFTP-L,-0.0123203285420945,0
LKGM-L,-0.0122077384647216,0
NTEU-L,-0.012121212121212,0
LOWH-L,-0.0119047619047618,0
FRYR-L,-0.0118130457113507,0
MUZM-L,-0.011652101539742,0
MCMB-L,-0.0112359550561798,0
MLBZ-L,-0.0111358574610244,0
PKWE-L,-0.0106951871657754,0
SLPU-L,-0.0104347826086955,0
SDCS-L,-0.0104166666666666,0
SNPY-L,-0.01010101010101,0
FUVZ-L,-0.0093720712277413,0
POHS-L,-0.0093457943925233,0
PNYX-L,-0.009009009009009,0
MCUF-L,-0.0086956521739131,0
SOAW-L,-0.0083798882681564,0
OSVH-L,-0.008230452674897,0
FUWW-L,-0.007933010136624,0
LURY-L,-0.0078431372549019,0
PJWZ-L,-0.007662835249042,0
MRHP-L,-0.0076335877862595,0
FTFK-L,-0.0075757575757575,0
FTHH-L,-0.0071942446043165,0
FSMI-L,-0.007156191661481,0
YOW-L^C23,-0.0066598360655737,0
MPQS-L,-0.0063191153238546,0
SFOM-L,-0.0061855670103091,0
PLPI-L,-0.0059523809523809,0
FSSR-L,-0.005736137667304,0
NYTQ-L,-0.0056242969628796,0
NYIA-L,-0.0055865921787709,0
SGOJ-L,-0.0040816326530612,0
NNFN-L,-0.0037962851092783,0
LTLX-L,-0.0037593984962406,0
LONY-L,-0.0036045314109165,0
PJEH-L,-0.0035953587187448,0
SHWX-L,-0.0034246575342464,0
MPVO-L,-0.0026857654431512,0
SEQR-L^F22,-0.0025252525252524,0
FZHT-L,-0.0023041474654377,0
MFST-L,-0.0021141649048627,0
FTUF-L,-0.0020283975659228,0
SLBT-L,-0.0020140986908357,0
PKXR-L,-0.0017006802721087,0
CWI-L,-0.001541782300339,0
FVGS-L,-0.0006775067750677,0
FTXF-L,-0.000469483568075,0
FSWP-L,-0.0003825554705433,0
BDIM-L^C23,0.0,0
DOT-L,0.0,0
FSEO-L^F23,0.0,0
FSOF-L,0.0,0
FSPX-L^C23,0.0,0
FSQP-L,0.0,0
FSSU-L^H22,0.0,0
FTAE-L,0.0,0
FTIT-L,0.0,0
FTKU-L,0.0,0
FTNS-L,0.0,0
FTYW-L,0.0,0
FTZA-L,0.0,0
FULC-L^F22,0.0,0
FVHT-L,0.0,0
FVKF-L^J22,0.0,0
FVNI-L^A23,0.0,0
FZDC-L,0.0,0
FZGS-L,0.0,0
LLOR-L,0.0,0
LMJY-L^C23,0.0,0
LNWM-L,0.0,0
LOIR-L,0.0,0
LOIU-L,0.0,0
LOSW-L,0.0,0
LPDI-L,0.0,0
LQSN-L,0.0,0
LTCN-L,0.0,0
LTKS-L,0.0,0
LUPI-L,0.0,0
LVWS-L,0.0,0
LYTD-L,0.0,0
LZZF-L,0.0,0
MBDX-L,0.0,0
MBEC-L,0.0,0
MBEH-L^K22,0.0,0
MDSV-L,0.0,0
MOCW-L,0.0,0
MSBY-L,0.0,0
MZKE-L,0.0,0
NBGQ-L,0.0,0
NESS-L^F23,0.0,0
NEZP-L,0.0,0
NFOY-L,0.0,0
NOBF-L,0.0,0
NPYG-L,0.0,0
NQEK-L,0.0,0
NQJ-L,0.0,0
NRDT-L^C23,0.0,0
NRYO-L^I22,0.0,0
NVIH-L,0.0,0
OCKN-L,0.0,0
OFJB-L,0.0,0
OQCT-L,0.0,0
OQDC-L,0.0,0
OUBM-L^J22,0.0,0
PKGY-L,0.0,0
PKHJ-L,0.0,0
PKJW-L,0.0,0
PKKE-L,0.0,0
PKQG-L^L22,0.0,0
PLLZ-L,0.0,0
PLMM-L,0.0,0
PLNG-L,0.0,0
PLPB-L,0.0,0
PNCM-L,0.0,0
PNFK-L,0.0,0
PNMY-L^D23,0.0,0
PNTL-L,0.0,0
POKC-L,0.0,0
POLV-L,0.0,0
PPBO-L,0.0,0
PPLS-L,0.0,0
PQHC-L,0.0,0
PQIN-L^I22,0.0,0
PQKD-L,0.0,0
PQLX-L,0.0,0
PQPR-L,0.0,0
PRSE-L,0.0,0
PTKG-L,0.0,0
PWNM-L,0.0,0
PXAW-L,0.0,0
QBJR-L,0.0,0
QBKZ-L^E23,0.0,0
QGHS-L,0.0,0
QGIN-L^A23,0.0,0
QGJJ-L^E23,0.0,0
QGQO-L,0.0,0
QITE-L,0.0,0
QIWF-L^K22,0.0,0
QJOJ-L,0.0,0
QLBS-L,0.0,0
QLOQ-L,0.0,0
QLQI-L,0.0,0
QMUM-L,0.0,0
QNCP-L,0.0,0
QTHZ-L,0.0,0
QTSB-L,0.0,0
QUIP-L,0.0,0
QVNL-L,0.0,0
QVZQ-L,0.0,0
QXSD-L,0.0,0
QYXA-L,0.0,0
QZCN-L,0.0,0
RVVG-L,0.0,0
RYCO-L,0.0,0
SBHC-L,0.0,0
SBKB-L,0.0,0
SBPO-L,0.0,0
SCCO-L^L22,0.0,0
SCWZ-L,0.0,0
SDFZ-L,0.0,0
SFDL-L,0.0,0
SFOP-L,0.0,0
SIBN-L,0.0,0
SKAB-L,0.0,0
SNBD-L,0.0,0
