Firm Name,Momentum_1,Cluster Index
19561,-0.0548162617507019,15
42024,0.0088343558282208,1
18650,0.1632145816072907,9
52230,-0.2295238095238095,26
87146,0.0898601398601399,23
66130,-0.1085714285714285,19
60898,-0.006872852233677,13
39757,-0.0177165354330708,23
47642,-0.0300699300699301,28
17961,-0.1771134683381549,23
19393,-0.0730858468677494,24
10874,-0.1106766917293232,6
55597,0.1064748201438847,15
50227,-0.1304731861198739,26
19880,-0.0105980317940954,9
10890,-0.1847133757961784,19
79732,-0.2619047619047618,21
20117,-0.0207999999999999,29
20125,-0.143782383419689,10
45655,-0.3258620689655171,7
64186,-0.0736981017155619,1
67838,-0.0034782608695652,17
47626,0.0300364077669903,24
20299,0.0338680926916219,24
20336,0.0014144271570013,11
62148,-0.1385576377058489,26
28564,-0.0322364002686367,18
86290,-0.0035211267605632,9
87451,-0.1411764705882353,13
46690,-0.0362108922363847,6
20504,0.0386389850057671,10
20512,-0.0339447968455339,29
20571,0.0068649885583524,29
56602,-0.1935483870967742,4
20750,0.0240626748740906,6
84837,-0.0248739495798319,9
21371,0.0415047411782993,24
27334,0.0074401008827238,18
23114,0.0158619080942383,28
20618,-0.148051948051948,20
56952,0.2290184921763869,28
30402,0.0257364341085271,20
18542,-0.048469387755102,10
53831,-0.0594433399602384,8
22032,0.0600719424460431,18
22437,0.033125,3
64557,0.0632258064516129,29
63503,0.1877705627705628,23
60599,0.0382234185733514,6
22374,-0.0121236613457264,9
22518,-0.0476190476190476,4
41419,-0.3994565217391304,21
22913,-0.0727272727272727,8
22921,-0.2570914002701486,16
64194,-0.3255088941866862,29
21960,-0.1316270566727605,4
23182,0.1469414893617022,6
88208,-0.188,20
14541,0.0599419916210119,24
30509,0.0326086956521738,4
23297,-0.1074380165289256,30
23393,0.0021965952773201,3
79026,0.0341789052069423,28
