Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1994-09-21 00:00:00+01:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-09-22 00:00:00+01:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-09-23 00:00:00+01:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-09-26 00:00:00+01:00,5.069,5.069,5.069,5.069,0,0.0,0.0
1994-09-27 00:00:00+01:00,5.069,5.069,5.069,5.069,0,0.0,0.0
1994-09-28 00:00:00+01:00,5.069,5.069,5.069,5.069,0,0.0,0.0
1994-09-29 00:00:00+01:00,5.069,5.069,5.069,5.069,0,0.0,0.0
1994-09-30 00:00:00+01:00,4.961,4.961,4.961,4.961,0,0.0,0.0
1994-10-03 00:00:00+01:00,4.907,4.907,4.907,4.907,0,0.0,0.0
1994-10-04 00:00:00+01:00,4.907,4.907,4.907,4.907,0,0.0,0.0
1994-10-05 00:00:00+01:00,4.907,4.907,4.907,4.907,0,0.0,0.0
1994-10-06 00:00:00+01:00,4.853,4.853,4.853,4.853,0,0.0,0.0
1994-10-07 00:00:00+01:00,4.853,4.853,4.853,4.853,0,0.0,0.0
1994-10-10 00:00:00+01:00,4.853,4.853,4.853,4.853,0,0.0,0.0
1994-10-11 00:00:00+01:00,4.853,4.853,4.853,4.853,0,0.0,0.0
1994-10-12 00:00:00+01:00,4.799,4.799,4.799,4.799,0,0.0,0.0
1994-10-13 00:00:00+01:00,4.826,4.826,4.826,4.826,0,0.0,0.0
1994-10-14 00:00:00+01:00,4.826,4.826,4.826,4.826,0,0.0,0.0
1994-10-17 00:00:00+01:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-10-18 00:00:00+01:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-10-19 00:00:00+01:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-10-20 00:00:00+01:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-10-21 00:00:00+01:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-10-24 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-10-25 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-10-26 00:00:00+00:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-10-27 00:00:00+00:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-10-28 00:00:00+00:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-10-31 00:00:00+00:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-11-01 00:00:00+00:00,5.123,5.123,5.123,5.123,0,0.0,0.0
1994-11-02 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-11-03 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-11-04 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-11-07 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-11-08 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
1994-11-09 00:00:00+00:00,5.069,5.069,5.069,5.069,0,0.0,0.0
1994-11-10 00:00:00+00:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-11-11 00:00:00+00:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-11-14 00:00:00+00:00,5.042,5.042,5.042,5.042,0,0.0,0.0
1994-11-15 00:00:00+00:00,5.096,5.096,5.096,5.096,0,0.0,0.0
